Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-06-11,8017.99,8057.32,7713.34,7919.1,5552.68803771,43736594.887095,7876.6526392383
2019-06-10,7629.98,8090.0,7523.16,8021.1,7150.59429755,56100688.224005,7845.5979866214
2019-06-09,7933.17,7966.58,7511.41,7632.99,3895.84810538,30121891.877318,7731.7931968962
2019-06-08,8002.68,8061.12,7777.67,7932.27,4870.11556741,38536604.546195,7912.8727055423
2019-06-07,7801.97,8134.99,7758.93,8001.25,9012.09615945,71665291.076446,7952.1223263135
2019-06-06,7784.62,7878.62,7449.68,7806.07,8738.66635896,67238735.506705,7694.3932569029
2019-06-05,7673.41,7924.48,7570.9,7785.94,9193.71188764,71403852.939905,7766.5967579319
2019-06-04,8103.63,8103.63,7432.84,7665.53,15485.70215021,120977317.95653,7812.1945510164
2019-06-03,8735.84,8745.96,8049.22,8103.64,9955.03261894,84089274.151653,8446.9109615641
2019-06-02,8560.1,8833.97,8546.01,8734.49,4263.0361653,37098988.768094,8702.4804223033
2019-06-01,8545.8,8624.72,8457.33,8556.27,5167.05130706,44144370.366347,8543.4356546897
2019-05-31,8277.76,8589.99,8109.74,8547.2,9957.91006545,83009912.016167,8336.0776980884
2019-05-30,8663.07,9096.79,8000.0,8277.76,15259.58792555,130901794.23144,8578.3308743394
2019-05-29,8715.35,8762.39,8421.12,8663.41,7584.25785894,65411714.731597,8624.6691434011
2019-05-28,8774.45,8817.41,8540.94,8717.96,6144.01124571,53514184.125441,8709.9749634747
2019-05-27,8733.27,8939.18,8653.68,8770.73,8948.02467376,78657195.09515,8790.4535316953
2019-05-26,8066.15,8802.29,7888.91,8733.26,8526.81164447,71863220.700701,8427.9122956008
2019-05-25,7999.02,8158.45,7939.76,8064.64,3361.65325124,27074799.566817,8054.013172486
2019-05-24,7880.4,8188.87,7795.95,7999.02,9358.97181211,75015715.38019,8015.3799889774
2019-05-23,7622.9,7980.0,7468.31,7880.22,8370.35625318,64573988.333091,7714.6045377171
2019-05-22,7949.18,8049.22,7505.69,7624.95,8396.82203697,65846626.429001,7841.8508977667
2019-05-21,8007.67,8117.48,7676.27,7955.16,7518.5556769,59705615.635612,7941.101748977
2019-05-20,8193.45,8199.97,7581.03,8005.64,13426.78750889,106107178.83688,7902.6482519833
2019-05-19,7257.82,8299.99,7247.86,8200.0,15595.26745165,123932797.57574,7946.8209160227
2019-05-18,7352.39,7493.85,7205.57,7260.12,7564.89968988,55459642.038958,7331.1800965649
2019-05-17,7879.28,7942.09,6178.0,7351.71,27307.57969969,195598026.61062,7162.7741733861
2019-05-16,8203.97,8390.95,7654.93,7880.0,17078.7037596,136561637.62996,7996.0188754485
2019-05-15,7991.72,8300.0,7838.0,8208.69,16613.07123458,133855606.84237,8057.2463063752
2019-05-14,7810.72,8335.56,7618.99,7986.0,18881.44115957,151041058.58097,7999.4454504026
2019-05-13,6968.84,8167.5,6863.75,7810.05,27299.34473923,207721775.30129,7609.0388720132
2019-05-12,7214.4,7585.0,6762.57,6974.35,27398.21436403,196853127.64814,7184.8889505215
2019-05-11,6338.93,7445.0,6338.93,7217.47,22331.43531269,154120013.55663,6901.4826587994
2019-05-10,6151.66,6426.8,6105.0,6342.84,13821.71360689,86993043.924509,6293.9405632847
2019-05-09,5945.32,6172.0,5932.83,6156.7,9081.24077807,54837077.64073,6038.5005728682
2019-05-08,5751.54,5986.0,5658.66,5940.89,6320.4135454,36919597.990805,5841.3263191734
2019-05-07,5686.88,5970.0,5686.88,5751.54,10741.56186069,62963390.900756,5861.6606893247
2019-05-06,5714.4,5755.79,5562.44,5685.46,6826.98087533,38600438.323735,5654.1008432032
2019-05-05,5766.46,5782.55,5624.25,5709.32,5162.56182988,29525690.045663,5719.1934970684
2019-05-04,5659.82,5846.13,5510.0,5764.65,8525.45570755,48561070.882932,5696.0088174439
2019-05-03,5385.0,5796.56,5363.1,5658.22,12700.58899257,71710767.75869,5646.2552878959
2019-05-02,5322.28,5422.94,5304.99,5385.0,5908.52172325,31718265.128451,5368.2234938123
2019-05-01,5267.86,5357.96,5263.03,5318.42,4209.28441353,22327344.492317,5304.3088322922
2019-04-30,5150.21,5287.4,5127.05,5269.0,5055.2728357,26344656.303777,5211.3223479716
2019-04-29,5152.98,5191.96,5071.58,5149.11,5753.61513714,29624138.313865,5148.786911839
2019-04-28,5171.51,5213.23,5099.0,5160.98,3957.25435637,20435452.586173,5164.0482885002
2019-04-27,5154.11,5218.31,5113.0,5168.91,4041.33355341,20859890.05744,5161.635331941
2019-04-26,5132.5,5291.48,5046.31,5155.19,15033.1017793,77511527.50102,5156.0568563269
2019-04-25,5440.95,5510.0,4991.42,5132.55,9893.93590864,52721094.596164,5328.6270583302
2019-04-24,5531.29,5623.3,5372.0,5440.95,10521.03763127,57671142.739722,5481.5071251447
2019-04-23,5388.22,5627.0,5363.24,5531.32,10132.40317154,56135134.055668,5540.1599309965
2019-04-22,5295.96,5439.12,5249.0,5386.8,7127.11186779,38003121.437951,5332.1909551751
2019-04-21,5318.94,5346.91,5212.8,5295.65,4631.03916752,24426951.871617,5274.615693803
2019-04-20,5289.91,5362.97,5253.82,5318.89,3665.56962108,19479087.787234,5314.0684261496
2019-04-19,5283.0,5357.96,5180.37,5289.91,5285.60637017,27787551.0216,5257.2115809499
2019-04-18,5227.6,5325.0,5218.23,5281.58,6375.89568714,33581379.579609,5266.927382037
2019-04-17,5201.47,5275.07,5170.01,5233.72,6741.07720986,35182213.532752,5219.0788560161
2019-04-16,5027.33,5231.96,5014.77,5202.43,7675.40412015,39252097.870724,5114.0105792835
2019-04-15,5160.54,5192.01,4948.57,5027.31,7423.01375858,37886833.044323,5103.9691258191
2019-04-14,5064.0,5185.26,5012.73,5162.72,3443.44728316,17507405.650883,5084.26707634
